"","roster.No.","roster.Player","roster.Pos","roster.Ht","roster.Wt","roster.Birth.Date","roster..","roster.Exp","roster.College"
"1","3","Ryan Anderson","PF","6-10","240","May 6, 1988","us","8","University of California"
"2","1","Trevor Ariza","SF","6-8","215","June 30, 1985","us","12","University of California, Los Angeles"
"3","2","Patrick Beverley","SG","6-1","185","July 12, 1988","us","4","University of Arkansas"
"4","33","Corey Brewer","SF","6-9","186","March 5, 1986","us","9","University of Florida"
"5","8","Bobby Brown","PG","6-2","175","September 24, 1984","us","2","California State University, Fullerton"
"6","15","Clint Capela","C","6-10","240","May 18, 1994","ch","2",""
"7","7","Sam Dekker","PF","6-9","230","May 6, 1994","us","1","University of Wisconsin"
"8","6","Tyler Ennis","PG","6-3","194","August 24, 1994","ca","2","Syracuse University"
"9","10","Eric Gordon","SG","6-4","215","December 25, 1988","us","8","Indiana University"
"10","13","James Harden","PG","6-5","220","August 26, 1989","us","7","Arizona State University"
"11","5","Montrezl Harrell","C","6-8","240","January 26, 1994","us","1","University of Louisville"
"12","42","Nene Hilario","C","6-11","250","September 13, 1982","br","14",""
"13","32","K.J. McDaniels","SF","6-6","205","February 9, 1993","us","2","Clemson University"
"14","21","Chinanu Onuaku","C","6-10","245","November 1, 1996","us","R","University of Louisville"
"15","17","Isaiah Taylor","PG","6-3","170","July 11, 1994","us","R","University of Texas at Austin"
"16","12","Lou Williams","SG","6-1","175","October 27, 1986","us","11",""
"17","14","Troy Williams","SF","6-7","218","December 30, 1994","us","R","Indiana University"
"18","30","Kyle Wiltjer","PF","6-10","240","October 20, 1992","us","R","Gonzaga University"
