"","roster.No.","roster.Player","roster.Pos","roster.Ht","roster.Wt","roster.Birth.Date","roster..","roster.Exp","roster.College"
"1","28","Tarik Black","C","6-9","250","November 22, 1991","us","2","University of Memphis, University of Kansas"
"2","3","Corey Brewer","SF","6-9","186","March 5, 1986","us","9","University of Florida"
"3","5","Jose Calderon","PG","6-3","200","September 28, 1981","es","11",""
"4","6","Jordan Clarkson","SG","6-5","194","June 7, 1992","us","2","University of Tulsa, University of Missouri"
"5","9","Luol Deng","SF","6-9","237","April 16, 1985","ss","12","Duke University"
"6","11","Tyler Ennis","PG","6-3","194","August 24, 1994","ca","2","Syracuse University"
"7","4","Marcelo Huertas","PG","6-3","200","May 25, 1983","br","1",""
"8","14","Brandon Ingram","SF","6-9","190","September 2, 1997","us","R","Duke University"
"9","20","Timofey Mozgov","C","7-1","275","July 16, 1986","ru","6",""
"10","7","Larry Nance","PF","6-9","230","January 1, 1993","us","1","University of Wyoming"
"11","10","David Nwaba","SG","6-4","219","January 14, 1993","us","R","California Polytechnic State University, San Luis Obispo"
"12","30","Julius Randle","PF","6-9","250","November 29, 1994","us","2","University of Kentucky"
"13","15","Thomas Robinson","PF","6-10","237","March 17, 1991","us","4","University of Kansas"
"14","1","D'Angelo Russell","PG","6-5","198","February 23, 1996","us","1","Ohio State University"
"15","23","Lou Williams","SG","6-1","175","October 27, 1986","us","11",""
"16","37","Metta World Peace","SF","6-6","260","November 13, 1979","us","16","St. John's University"
"17","0","Nick Young","SG","6-7","210","June 1, 1985","us","9","University of Southern California"
"18","40","Ivica Zubac","C","7-1","240","March 18, 1997","ba","R",""
