"","mpg","disp","hp"
"Mazda RX4",21,160,110
"Mazda RX4 Wag",21,160,110
"Datsun 710",22.8,108,93
"Hornet 4 Drive",21.4,258,110
"Hornet Sportabout",18.7,360,175
"Valiant",18.1,225,105
"Duster 360",14.3,360,245
"Merc 240D",24.4,146.7,62
"Merc 230",22.8,140.8,95
"Merc 280",19.2,167.6,123
"Merc 280C",17.8,167.6,123
"Merc 450SE",16.4,275.8,180
"Merc 450SL",17.3,275.8,180
"Merc 450SLC",15.2,275.8,180
"Cadillac Fleetwood",10.4,472,205
"Lincoln Continental",10.4,460,215
"Chrysler Imperial",14.7,440,230
"Fiat 128",32.4,78.7,66
"Honda Civic",30.4,75.7,52
"Toyota Corolla",33.9,71.1,65
"Toyota Corona",21.5,120.1,97
"Dodge Challenger",15.5,318,150
"AMC Javelin",15.2,304,150
"Camaro Z28",13.3,350,245
"Pontiac Firebird",19.2,400,175
"Fiat X1-9",27.3,79,66
"Porsche 914-2",26,120.3,91
"Lotus Europa",30.4,95.1,113
"Ford Pantera L",15.8,351,264
"Ferrari Dino",19.7,145,175
"Maserati Bora",15,301,335
"Volvo 142E",21.4,121,109
