"","roster.No.","roster.Player","roster.Pos","roster.Ht","roster.Wt","roster.Birth.Date","roster..","roster.Exp","roster.College"
"1","9","Tony Allen","SG","6-4","213","January 11, 1982","us","12","Butler County Community College, Oklahoma State University"
"2","4","Wade Baldwin","PG","6-4","200","March 29, 1996","us","R","Vanderbilt University"
"3","15","Vince Carter","SF","6-6","220","January 26, 1977","us","18","University of North Carolina"
"4","11","Mike Conley","PG","6-1","175","October 11, 1987","us","9","Ohio State University"
"5","30","Troy Daniels","SG","6-4","205","July 15, 1991","us","3","Virginia Commonwealth University"
"6","23","Deyonta Davis","C","6-11","237","December 2, 1996","us","R","Michigan State University"
"7","16","Toney Douglas","PG","6-2","195","March 16, 1986","us","7","Auburn University, Florida State University"
"8","8","James Ennis","SF","6-7","210","July 1, 1990","us","2","California State University, Long Beach"
"9","33","Marc Gasol","C","7-1","255","January 29, 1985","es","8",""
"10","0","JaMychal Green","PF","6-9","227","June 21, 1990","us","2","University of Alabama"
"11","5","Andrew Harrison","PG","6-6","213","October 28, 1994","us","R","University of Kentucky"
"12","1","Jarell Martin","PF","6-10","239","May 24, 1994","us","1","Louisiana State University"
"13","25","Chandler Parsons","SF","6-10","230","October 25, 1988","us","5","University of Florida"
"14","50","Zach Randolph","PF","6-9","250","July 16, 1981","us","15","Michigan State University"
"15","7","Wayne Selden","SG","6-5","230","September 30, 1994","us","R","University of Kansas"
"16","10","Troy Williams","SF","6-7","218","December 30, 1994","us","R","Indiana University"
"17","34","Brandan Wright","PF","6-10","210","October 5, 1987","us","8","University of North Carolina"
