"","roster.No.","roster.Player","roster.Pos","roster.Ht","roster.Wt","roster.Birth.Date","roster..","roster.Exp","roster.College"
"1","5","Luke Babbitt","SF","6-9","225","June 20, 1989","us","6","University of Nevada, Reno"
"2","7","Goran Dragic","PG","6-3","190","May 6, 1986","si","8",""
"3","2","Wayne Ellington","SG","6-5","200","November 29, 1987","us","7","University of North Carolina"
"4","40","Udonis Haslem","C","6-8","235","June 9, 1980","us","13","University of Florida"
"5","16","James Johnson","PF","6-8","240","February 20, 1987","us","7","Wake Forest University"
"6","8","Tyler Johnson","PG","6-4","190","May 7, 1992","us","2","California State University, Fresno"
"7","17","Rodney McGruder","SG","6-4","200","July 29, 1991","us","R","Kansas State University"
"8","4","Josh McRoberts","PF","6-10","240","February 28, 1987","us","9","Duke University"
"9","35","Willie Reed","C","6-10","220","May 16, 1990","us","1","Saint Louis University"
"10","0","Josh Richardson","SG","6-6","200","September 15, 1993","us","1","University of Tennessee"
"11","11","Dion Waiters","SG","6-4","215","December 10, 1991","us","4","Syracuse University"
"12","15","Okaro White","PF","6-8","205","August 13, 1992","us","R","Florida State University"
"13","21","Hassan Whiteside","C","7-0","265","June 13, 1989","us","4","Marshall University"
"14","22","Derrick Williams","PF","6-8","240","May 25, 1991","us","5","University of Arizona"
"15","20","Justise Winslow","SF","6-7","225","March 26, 1996","us","1","Duke University"
