"","roster.No.","roster.Player","roster.Pos","roster.Ht","roster.Wt","roster.Birth.Date","roster..","roster.Exp","roster.College"
"1","45","Cole Aldrich","C","6-11","250","October 31, 1988","us","6","University of Kansas"
"2","88","Nemanja Bjelica","PF","6-10","234","May 9, 1988","rs","1",""
"3","18","Omri Casspi","PF","6-9","225","June 22, 1988","il","7",""
"4","5","Gorgui Dieng","PF","6-11","252","January 18, 1990","sn","3","University of Louisville"
"5","3","Kris Dunn","PG","6-4","205","March 18, 1994","us","R","Providence College"
"6","27","Jordan Hill","C","6-10","235","July 27, 1987","us","7","University of Arizona"
"7","1","Tyus Jones","PG","6-2","196","May 10, 1996","us","1","Duke University"
"8","8","Zach LaVine","SG","6-5","200","March 10, 1995","us","2","University of California, Los Angeles"
"9","11","John Lucas III","PG","5-11","166","November 21, 1982","us","7","Baylor University, Oklahoma State University"
"10","15","Shabazz Muhammad","SF","6-6","223","November 13, 1992","us","3","University of California, Los Angeles"
"11","33","Adreian Payne","PF","6-10","237","February 19, 1991","us","2","Michigan State University"
"12","9","Ricky Rubio","PG","6-4","190","October 21, 1990","es","5",""
"13","4","Brandon Rush","SG","6-6","220","July 7, 1985","us","8","University of Kansas"
"14","7","Lance Stephenson","SG","6-6","230","September 5, 1990","us","6","University of Cincinnati"
"15","32","Karl-Anthony Towns","C","7-0","248","November 15, 1995","us","1","University of Kentucky"
"16","22","Andrew Wiggins","SF","6-8","194","February 23, 1995","ca","2","University of Kansas"
