"","roster.No.","roster.Player","roster.Pos","roster.Ht","roster.Wt","roster.Birth.Date","roster..","roster.Exp","roster.College"
"1","42","Alexis Ajinca","C","7-2","248","May 6, 1988","fr","6",""
"2","3","Omer Asik","C","7-0","255","July 4, 1986","tr","6",""
"3","21","Anthony Brown","SF","6-7","210","October 10, 1992","us","1","Stanford University"
"4","18","Omri Casspi","PF","6-9","225","June 22, 1988","il","7",""
"5","22","Quinn Cook","PG","6-2","179","March 23, 1993","us","R","Duke University"
"6","0","DeMarcus Cousins","C","6-11","270","August 13, 1990","us","6","University of Kentucky"
"7","4","Jordan Crawford","SG","6-4","195","October 23, 1988","us","4","Indiana University, Xavier University"
"8","33","Dante Cunningham","PF","6-8","230","April 22, 1987","us","7","Villanova University"
"9","23","Anthony Davis","C","6-10","253","March 11, 1993","us","4","University of Kentucky"
"10","13","Cheick Diallo","PF","6-9","220","September 13, 1996","ml","R","University of Kansas"
"11","1","Tyreke Evans","SF","6-6","220","September 19, 1989","us","7","University of Memphis"
"12","2","Tim Frazier","PG","6-1","170","November 1, 1990","us","2","Pennsylvania State University"
"13","10","Langston Galloway","PG","6-2","200","December 9, 1991","us","2","Saint Joseph's University"
"14","8","Archie Goodwin","SG","6-5","200","August 17, 1994","us","3","University of Kentucky"
"15","24","Buddy Hield","SG","6-4","214","December 17, 1992","bs","R","University of Oklahoma"
"16","44","Solomon Hill","SF","6-7","225","March 18, 1991","us","3","University of Arizona"
"17","11","Jrue Holiday","PG","6-4","205","June 12, 1990","us","7","University of California, Los Angeles"
"18","1","Jarrett Jack","PG","6-3","200","October 28, 1983","us","11","Georgia Institute of Technology"
"19","9","Terrence Jones","PF","6-9","252","January 9, 1992","us","4","University of Kentucky"
"20","55","E'Twaun Moore","SG","6-4","191","February 25, 1989","us","5","Purdue University"
"21","12","Donatas Motiejunas","PF","7-0","222","September 20, 1990","lt","4",""
"22","25","Wayne Selden","SG","6-5","230","September 30, 1994","us","R","University of Kansas"
"23","5","Lance Stephenson","SG","6-6","230","September 5, 1990","us","6","University of Cincinnati"
"24","32","Hollis Thompson","SG","6-8","206","April 3, 1991","us","3","Georgetown University"
"25","10","Axel Toupane","SF","6-7","197","July 23, 1992","fr","1",""
"26","5","Reggie Williams","SF","6-6","205","September 14, 1986","us","6","Virginia Military Institute"
