"","roster.No.","roster.Player","roster.Pos","roster.Ht","roster.Wt","roster.Birth.Date","roster..","roster.Exp","roster.College"
"1","7","Carmelo Anthony","SF","6-8","240","May 29, 1984","us","13","Syracuse University"
"2","31","Ron Baker","SG","6-4","220","March 30, 1993","us","R","Wichita State University"
"3","14","Willy Hernangomez","C","6-11","240","May 27, 1994","es","R",""
"4","8","Justin Holiday","SG","6-6","181","April 5, 1989","us","3","University of Washington"
"5","3","Brandon Jennings","PG","6-1","170","September 23, 1989","us","7",""
"6","91","Mindaugas Kuzminskas","SF","6-9","215","October 19, 1989","lt","R",""
"7","5","Courtney Lee","SG","6-5","215","October 3, 1985","us","8","Western Kentucky University"
"8","2","Maurice Ndour","PF","6-9","200","June 18, 1992","sn","R","Ohio University"
"9","13","Joakim Noah","C","6-11","230","February 25, 1985","us","9","University of Florida"
"10","9","Kyle O'Quinn","C","6-10","250","March 26, 1990","us","4","Norfolk State University"
"11","40","Marshall Plumlee","C","7-0","250","July 14, 1992","us","R","Duke University"
"12","6","Kristaps Porzingis","PF","7-3","240","August 2, 1995","lv","1",""
"13","4","Chasson Randle","PG","6-2","185","February 5, 1993","us","R","Stanford University"
"14","25","Derrick Rose","PG","6-3","200","October 4, 1988","us","7","University of Memphis"
"15","42","Lance Thomas","PF","6-8","240","April 24, 1988","us","5","Duke University"
"16","18","Sasha Vujacic","SG","6-7","195","March 8, 1984","si","9",""
