"","roster.No.","roster.Player","roster.Pos","roster.Ht","roster.Wt","roster.Birth.Date","roster..","roster.Exp","roster.College"
"1","8","Alex Abrines","SG","6-6","200","August 1, 1993","es","R",""
"2","12","Steven Adams","C","7-0","265","July 20, 1993","nz","3","University of Pittsburgh"
"3","6","Semaj Christon","PG","6-3","190","November 1, 1992","us","R","Xavier University"
"4","30","Norris Cole","PG","6-2","175","October 13, 1988","us","5","Cleveland State University"
"5","4","Nick Collison","PF","6-10","255","October 26, 1980","us","12","University of Kansas"
"6","22","Taj Gibson","PF","6-9","232","June 24, 1985","us","7","University of Southern California"
"7","9","Jerami Grant","PF","6-9","220","March 12, 1994","us","2","Syracuse University"
"8","34","Josh Huestis","PF","6-7","230","December 19, 1991","us","1","Stanford University"
"9","7","Ersan Ilyasova","PF","6-10","235","May 15, 1987","tr","8",""
"10","11","Enes Kanter","C","6-11","250","May 20, 1992","ch","5",""
"11","77","Joffrey Lauvergne","PF","6-11","220","September 30, 1991","fr","2",""
"12","25","Doug McDermott","SF","6-8","225","January 3, 1992","us","2","Creighton University"
"13","2","Anthony Morrow","SG","6-5","210","September 27, 1985","us","8","Georgia Institute of Technology"
"14","5","Victor Oladipo","SG","6-4","210","May 4, 1992","us","3","Indiana University"
"15","22","Cameron Payne","PG","6-3","190","August 8, 1994","us","1","Murray State University"
"16","21","Andre Roberson","SF","6-7","210","December 4, 1991","us","3","University of Colorado"
"17","3","Domantas Sabonis","PF","6-11","240","May 3, 1996","us","R","Gonzaga University"
"18","15","Kyle Singler","SF","6-8","228","May 4, 1988","us","4","Duke University"
"19","0","Russell Westbrook","PG","6-3","200","November 12, 1988","us","8","University of California, Los Angeles"
