"","roster.No.","roster.Player","roster.Pos","roster.Ht","roster.Wt","roster.Birth.Date","roster..","roster.Exp","roster.College"
"1","8","Al-Farouq Aminu","PF","6-9","220","September 21, 1990","us","6","Wake Forest University"
"2","5","Pat Connaughton","SG","6-4","209","January 6, 1993","us","1","University of Notre Dame"
"3","23","Allen Crabbe","SG","6-6","212","April 9, 1992","us","3","University of California"
"4","17","Ed Davis","PF","6-10","225","June 5, 1989","us","6","University of North Carolina"
"5","4","Maurice Harkless","SF","6-9","220","May 11, 1993","us","4","St. John's University"
"6","10","Jake Layman","SF","6-9","215","March 7, 1994","us","R","University of Maryland"
"7","11","Meyers Leonard","PF","7-1","255","February 27, 1992","us","4","University of Illinois at Urbana-Champaign"
"8","0","Damian Lillard","PG","6-3","195","July 15, 1990","us","4","Weber State University"
"9","3","CJ McCollum","SG","6-3","190","September 19, 1991","us","3","Lehigh University"
"10","6","Shabazz Napier","PG","6-1","180","July 14, 1991","us","2","University of Connecticut"
"11","27","Jusuf Nurkic","C","7-0","275","August 23, 1994","ba","2",""
"12","24","Mason Plumlee","C","6-11","235","March 5, 1990","us","3","Duke University"
"13","55","Tim Quarterman","SG","6-6","195","October 27, 1994","us","R","Louisiana State University"
"14","1","Evan Turner","SF","6-7","220","October 27, 1988","us","6","Ohio State University"
"15","21","Noah Vonleh","PF","6-9","250","August 24, 1995","us","2","Indiana University"
