"","roster.No.","roster.Player","roster.Pos","roster.Ht","roster.Wt","roster.Birth.Date","roster..","roster.Exp","roster.College"
"1","40","Arron Afflalo","SG","6-5","210","October 15, 1985","us","9","University of California, Los Angeles"
"2","22","Matt Barnes","SF","6-7","226","March 9, 1980","us","13","University of California, Los Angeles"
"3","18","Omri Casspi","PF","6-9","225","June 22, 1988","il","7",""
"4","00","Willie Cauley-Stein","C","7-0","240","August 18, 1993","us","1","University of Kentucky"
"5","7","Darren Collison","PG","6-0","175","August 23, 1987","us","7","University of California, Los Angeles"
"6","15","DeMarcus Cousins","C","6-11","270","August 13, 1990","us","6","University of Kentucky"
"7","32","Tyreke Evans","SF","6-6","220","September 19, 1989","us","7","University of Memphis"
"8","20","Jordan Farmar","PG","6-2","180","November 30, 1986","us","9","University of California, Los Angeles"
"9","9","Langston Galloway","PG","6-2","200","December 9, 1991","us","2","Saint Joseph's University"
"10","8","Rudy Gay","SF","6-8","230","August 17, 1986","us","10","University of Connecticut"
"11","24","Buddy Hield","SG","6-4","214","December 17, 1992","bs","R","University of Oklahoma"
"12","41","Kosta Koufos","C","7-0","245","February 24, 1989","us","8","Ohio State University"
"13","3","Skal Labissiere","PF","6-11","235","March 18, 1996","ht","R","University of Kentucky"
"14","10","Ty Lawson","PG","5-11","195","November 3, 1987","us","7","University of North Carolina"
"15","23","Ben McLemore","SG","6-5","201","February 11, 1993","us","3","University of Kansas"
"16","13","Georgios Papagiannis","C","7-1","240","July 3, 1997","gr","R",""
"17","5","Malachi Richardson","SG","6-6","205","January 5, 1996","us","R","Syracuse University"
"18","17","Garrett Temple","SG","6-6","195","May 8, 1986","us","6","Louisiana State University"
"19","43","Anthony Tolliver","PF","6-8","250","June 1, 1985","us","8","Creighton University"
