"","roster.No.","roster.Player","roster.Pos","roster.Ht","roster.Wt","roster.Birth.Date","roster..","roster.Exp","roster.College"
"1","12","LaMarcus Aldridge","PF","6-11","260","July 19, 1985","us","10","University of Texas at Austin"
"2","1","Kyle Anderson","SF","6-9","230","September 20, 1993","us","2","University of California, Los Angeles"
"3","30","Joel Anthony","C","6-9","245","August 9, 1982","ca","9","University of Nevada, Las Vegas"
"4","42","Davis Bertans","PF","6-10","225","November 12, 1992","lv","R",""
"5","3","Dewayne Dedmon","C","7-0","245","August 12, 1989","us","3","University of Southern California"
"6","11","Bryn Forbes","SG","6-3","190","July 23, 1993","us","R","Michigan State University"
"7","16","Pau Gasol","C","7-0","250","July 6, 1980","es","15",""
"8","20","Manu Ginobili","SG","6-6","205","July 28, 1977","ar","14",""
"9","14","Danny Green","SG","6-6","215","June 22, 1987","us","7","University of North Carolina"
"10","27","Nicolas Laprovittola","PG","6-4","180","January 31, 1990","ar","R",""
"11","10","David Lee","PF","6-9","245","April 29, 1983","us","11","University of Florida"
"12","2","Kawhi Leonard","SF","6-7","230","June 29, 1991","us","5","San Diego State University"
"13","8","Patty Mills","PG","6-0","180","August 11, 1988","au","7","Saint Mary's College of California"
"14","5","Dejounte Murray","PG","6-5","170","September 19, 1996","us","R","University of Washington"
"15","9","Tony Parker","PG","6-2","185","May 17, 1982","be","15",""
"16","17","Jonathon Simmons","SG","6-6","195","September 14, 1989","us","1","University of Houston"
