"","roster.No.","roster.Player","roster.Pos","roster.Ht","roster.Wt","roster.Birth.Date","roster..","roster.Exp","roster.College"
"1","21","Joel Bolomboy","PF","6-9","235","January 28, 1994","ua","R","Weber State University"
"2","10","Alec Burks","SG","6-6","214","July 20, 1991","us","5","University of Colorado"
"3","33","Boris Diaw","PF","6-8","250","April 16, 1982","fr","13",""
"4","11","Dante Exum","PG","6-6","190","July 13, 1995","au","1",""
"5","15","Derrick Favors","PF","6-10","265","July 15, 1991","us","6","Georgia Institute of Technology"
"6","27","Rudy Gobert","C","7-1","245","June 26, 1992","fr","3",""
"7","20","Gordon Hayward","SF","6-8","225","March 23, 1990","us","6","Butler University"
"8","3","George Hill","PG","6-3","188","May 4, 1986","us","8","Indiana University-Purdue University Indianapolis"
"9","5","Rodney Hood","SG","6-8","206","October 20, 1992","us","2","Mississippi State University, Duke University"
"10","2","Joe Ingles","SF","6-8","226","October 2, 1987","au","2",""
"11","6","Joe Johnson","SF","6-7","240","June 29, 1981","us","15","University of Arkansas"
"12","41","Trey Lyles","PF","6-10","234","November 5, 1995","ca","1","University of Kentucky"
"13","8","Shelvin Mack","PG","6-3","203","April 22, 1990","us","5","Butler University"
"14","25","Raul Neto","PG","6-1","179","May 19, 1992","br","1",""
"15","24","Jeff Withey","C","7-0","231","March 7, 1990","us","3","University of Kansas"
